Model,Exec model,Mode,Pretrained,CLS,Trained,Train pearson,Val pearson,Test pearson,Train spearman,Val spearman,Test spearman
Roberta hugging mean,6,roberta-hugging,True,False,True,0.986265579996005,0.33733271414925,0.4114978803700279,0.9883074436382439,0.35243710250518107,0.3946578919977593
Initialized w2v propi notrain,2,embeddings,True,True,False,0.5870370263082831,0.40659648686484895,0.40982064349962033,0.6074105710427412,0.40840342950203495,0.42924140183456205
Word2vec propi mean,2,mean,True,True,True,0.7808885213437398,0.3632732117332028,0.4088929743714853,0.7769567283651373,0.37883678803983084,0.3873535311435696
Word2vec propi tfidf,2,tfidf,True,True,True,0.8584475516631402,0.3665978995510246,0.4069309301918367,0.858743333392539,0.3800164603414107,0.39761706267789176
Word2vec propi mean,6,mean,True,True,True,0.9493644733601485,0.28324603502232315,0.40653907081783325,0.9758166832614994,0.28118885081514,0.3732725709923066
Word2vec 1000 mean,6,mean,True,True,True,0.7210444766615525,0.2687577430079515,0.4034241889887145,0.774119361715469,0.2952332057151129,0.3930188249034396
Word2vec ccca300 mean,5,mean,True,True,True,0.3226405225039164,0.2597179738542865,0.40284562782397465,0.37246294124020657,0.2769147300356368,0.439452105028967
Word2vec 1000 tfidf,6,tfidf,True,True,True,0.9008368812515445,0.2699505350834205,0.3999635761973774,0.9386549831572943,0.2741181072781312,0.3964738607898379
Roberta 0 mean,6,roberta2,True,False,True,0.94098067826321,0.24934093925545098,0.3983232583862759,0.9604270289219965,0.24258318880885463,0.3698349550494138
Initialized w2v propi,2,embeddings,True,True,True,0.9286884473311146,0.3744240470021332,0.3971631112594919,0.9765711000658296,0.3819442787502706,0.4179981553058049
Word2vec ccca300 mean,Baseline,mean,True,True,True,0.3050556874750933,0.245373380455843,0.39569443375959146,0.382091979129844,0.2824250377712903,0.4577118504889226
Initialized ccca300 notrain,1,embeddings,True,True,False,0.3050556829378207,0.24537329574244662,0.3956943575408665,0.38209618620765223,0.28246157891794427,0.4576594429205114
Word2vec 1000 tfidf,5,tfidf,True,True,True,0.3601627502592759,0.351864499057074,0.39555513049517005,0.3852495621460446,0.3514041698147371,0.4457781369979634
Word2vec 1000 tfidf,2,tfidf,True,True,True,0.7429485523002692,0.3820058144562646,0.3923661763671126,0.7285478261259867,0.38904959073157547,0.37679048274127425
Spacy md,2,spacy,True,True,True,0.6745678148125542,0.33290468559538844,0.3911207091194178,0.6686096217587671,0.31488661449053,0.3951294850943762
Word2vec 500 mean,6,mean,True,True,True,0.8949019030550581,0.29340341774979717,0.3905362541223464,0.9325285224928436,0.2959655089131236,0.35672468626534054
Word2vec ccca300 mean,4,mean,True,True,True,0.323445435684535,0.2674541970705302,0.38421247559090954,0.35228637097055615,0.2909969538088394,0.41633906251465774
Roberta hugging mean,2,roberta-hugging,True,False,True,0.7409373280145454,0.3479984413570259,0.3836043700498583,0.7489745296798426,0.35686154109688295,0.3665286883758335
Word2vec 1000 mean,2,mean,True,True,True,0.7268275979455074,0.3635812448564759,0.3833056381705713,0.7105343346505574,0.3773615941634793,0.37437306747869203
Word2vec 100 mean,6,mean,True,True,True,0.9565821642578571,0.2916308068584751,0.3786031139351886,0.9733716427172595,0.28893956916983937,0.34890877743026105
Word2vec nlpl tfidf,6,tfidf,True,True,True,0.9453883352021561,0.29823913928039003,0.3705882635051376,0.9653479921066677,0.30935242864649326,0.33911404022046904
Word2vec nlpl mean,2,mean,True,True,True,0.5575302997010969,0.3198000106422041,0.3700960325499432,0.5358152731142803,0.3345629230774784,0.33265862414769554
Word2vec 500 mean,2,mean,True,True,True,0.6913775076632397,0.318262078081622,0.3696495479850731,0.6747523629669137,0.3362689353658793,0.35094058945585715
Roberta hugging cls,2,roberta-hugging,True,True,True,0.5889856419144347,0.3075947074193656,0.3687862542254591,0.5784896209002814,0.29672582156783744,0.3616691514487998
Spacy md,6,spacy,True,True,True,0.8629366112983676,0.28115055574066594,0.36865172725083195,0.8966701030457717,0.2811357428699924,0.37313822993214274
Word2vec 500 tfidf,6,tfidf,True,True,True,0.9621638690763903,0.29103259084741195,0.3678937936349097,0.9787668050650704,0.2889479216012126,0.34424438247424116
Word2vec nlpl mean,6,mean,True,True,True,0.8648076442793673,0.29499483370814167,0.3675280277313119,0.9052869241713918,0.3104571221855147,0.3377152814880804
Word2vec propi tfidf,6,tfidf,True,True,True,0.9845174523925894,0.2627337797359347,0.36590522983887486,0.9859408037823293,0.2593319380299712,0.35091472494140036
Roberta cls,1,roberta,True,True,True,0.754737633164567,0.23901563046197816,0.3657965083049997,0.8077039499610481,0.21267269754179438,0.37763011436729843
Word2vec nlpl tfidf,2,tfidf,True,True,True,0.7674003182744572,0.3633300469711278,0.3653414587581417,0.7605529315613606,0.37467761517561704,0.3425466376754821
Roberta mean,6,roberta,True,False,True,0.8960211020130078,0.22907748316851115,0.36290144203562097,0.9281512385080135,0.21685340326376798,0.34552824678699967
Initialized ccca300,2,embeddings,True,True,True,0.9805172159507425,0.25478599953006287,0.3627476008496878,0.9861733262838955,0.30729063337601087,0.4009202410512384
Word2vec 100 mean,2,mean,True,True,True,0.6428987353525172,0.3617373884242186,0.3611636547161152,0.6291832298528691,0.3707556899863629,0.34424814634015094
Random,0,embeddings,False,True,True,0.9583395077853949,0.33995542041022775,0.3606504511567369,0.9779187788338498,0.3406504374004612,0.3582523815324841
Roberta finetuned cls,1,roberta-hugging,True,True,True,0.3836827888190067,0.30834090829216854,0.3584779264968203,0.41903888926019695,0.3218785651489197,0.37832710512628076
Word2vec 500 tfidf,2,tfidf,True,True,True,0.6867441184089298,0.3368344544377635,0.3583094232314318,0.6728669525299171,0.3512851102964788,0.3525386400626987
Initialized w2v propi,0,embeddings,True,True,True,0.9830131940232996,0.33237961166853525,0.3573121373569065,0.9887739882273247,0.338544128015955,0.3270096887281256
Roberta hugging cls,6,roberta-hugging,True,True,True,0.5079347596897357,0.22186523576923126,0.3569621635308541,0.5373354176838351,0.2326487683095839,0.3423416034927823
Random v2,0,embeddings,False,True,False,0.9523818977603351,0.3298975520719649,0.35677142468844025,0.9723514202947815,0.33086853326366455,0.3606328819563361
Initialized ccca300 notrain,3,embeddings,True,True,False,0.3570249660392236,0.36229647548441096,0.35568181999770654,0.35681107522332595,0.3380431626812989,0.36861435035526036
Word2vec 100 tfidf,6,tfidf,True,True,True,0.9598798024646595,0.2918241378851792,0.35377889559272613,0.9762763436282164,0.2998729983972876,0.33332236742447496
Initialized ccca300,0,embeddings,True,True,True,0.9875550201440343,0.37114297580255207,0.34927717312973844,0.9920089348828195,0.36549399618088385,0.3276087224640718
Onehot,6,onehot,True,True,True,0.9888404899479475,0.2778794335039646,0.3473625444879337,0.9899699072503293,0.25460431703287695,0.31292177990133685
Initialized w2v propi,3,embeddings,True,True,True,0.8972468539359557,0.3333097293597,0.34538985155091007,0.967064033676412,0.3179040504638573,0.37640958669246416
Roberta hugging cls,7,roberta-hugging,True,True,True,0.4806052562975702,0.2418954597114582,0.3431787092124909,0.48516731838129373,0.2249010433117929,0.3290763888954238
Spacy md,5,spacy,True,True,True,0.2825587647056345,0.23901835460712548,0.3410097367018565,0.34943902770249624,0.28350484002307913,0.3972906000426041
Roberta 0 cls,1,roberta2,True,True,True,0.8089221021293209,0.19745017103623577,0.3396101974036436,0.8896737519290897,0.2318839656195075,0.35633150704184374
Word2vec ccca300 tfidf,3,tfidf,True,True,True,0.2925924132952395,0.1981730860310475,0.33633286257045525,0.29273381385674546,0.16206101893587863,0.3174507239392964
Word2vec 1000 mean,0,mean,True,True,True,0.5068551829024724,0.2526932822103709,0.3317638093007039,0.5225603584666393,0.271516493885198,0.3247153711826691
Word2vec 500 mean,3,mean,True,True,True,0.32284733190089493,0.20066353798373304,0.32708603987137397,0.32820404763035493,0.20800875779892722,0.31602841691762623
Word2vec 1000 tfidf,0,tfidf,True,True,True,0.4638281601499622,0.22851648602451763,0.3254203641381552,0.48065621011314025,0.24743542035724528,0.328577001096704
Roberta hugging mean,0,roberta-hugging,True,False,True,0.45275225684056625,0.24179106391975208,0.3244559876957023,0.47119845765049106,0.28351522021235803,0.3243512895379361
Word2vec 100 mean,3,mean,True,True,True,0.350718214590823,0.21137073666697914,0.3244107265596504,0.35484871110255606,0.2237891077802514,0.314686743484869
Word2vec nlpl mean,0,mean,True,True,True,0.28948856412230756,0.2167589588252679,0.32400612014302066,0.2876877798257936,0.23345122936076498,0.2962642605160762
Roberta hugging mean,3,roberta-hugging,True,False,True,0.4433783414448558,0.24986928119913346,0.32368742596228883,0.4609787519441429,0.2898621335536985,0.3238932077548415
Word2vec 100 tfidf,3,tfidf,True,True,True,0.37565327649959734,0.20296646107390226,0.3221936582655249,0.3760481522982586,0.2164030478889159,0.29929026394345254
Word2vec nlpl tfidf,3,tfidf,True,True,True,0.33022336822260834,0.18398868153153097,0.3216352125587929,0.337511023892304,0.1788324597335583,0.29458166769033856
Spacy md,Baseline,spacy,True,True,True,0.23675119262393876,0.19427876742553674,0.3211717557887849,0.35095133941570744,0.2839721967557386,0.40022918471132624
Word2vec 500 tfidf,3,tfidf,True,True,True,0.3445932923787651,0.18091749525334536,0.3202964243687749,0.34774420478245455,0.2104267142615499,0.29888854363962203
Word2vec ccca300 tfidf,0,tfidf,True,True,True,0.4495544640634853,0.12579233668152248,0.319501474945554,0.46747857207387145,0.1315560083628655,0.29976784062177214
Onehot,4,onehot,True,True,True,0.3313688641029965,0.3125341008792984,0.3186219974431391,0.3455303083093245,0.31106397527544843,0.3206837148263393
Roberta 0 mean,3,roberta2,True,False,True,0.40135103618877,0.17644840426343888,0.3153166271765302,0.4030768745357113,0.15043762094106208,0.2853795463425696
Initialized ccca300,3,embeddings,True,True,True,0.9443143702200762,0.35460999266407295,0.3146867598987009,0.9744988625227775,0.3527922294704277,0.36822592145326555
Word2vec nlpl tfidf,0,tfidf,True,True,True,0.49206883245065675,0.2565474567263596,0.3146355136295153,0.510857829086536,0.24093790466818024,0.3009585733806096
Roberta hugging cls,0,roberta-hugging,True,True,True,0.3604569538612797,0.1793107831595383,0.3112132508551232,0.36957383225124024,0.18707254366281822,0.29591687499448144
Initialized ccca300,7,embeddings,True,True,True,0.9509952367588443,0.2843015495916633,0.3108678935652328,0.9674360558966004,0.28522495808646164,0.29753939072973645
Word2vec 1000 tfidf,3,tfidf,True,True,True,0.3154826614841302,0.17811578741468867,0.30967537844447496,0.3268484516942819,0.1791837929306851,0.31863267434434445
Roberta mean,2,roberta,True,False,True,0.5150120414732513,0.22489163270058654,0.3092054600837394,0.500540814621721,0.2048321301998952,0.29309986263447935
Word2vec ccca300 mean,0,mean,True,True,True,0.3460358348067531,0.14259299324258207,0.3075083534274765,0.3578250347889786,0.13542337720846795,0.3095110900761063
Word2vec 500 mean,0,mean,True,True,True,0.331879279404422,0.19396292303727575,0.3066159787884912,0.3333738885571886,0.2101408969567552,0.3052072059176741
Word2vec propi mean,3,mean,True,True,True,0.3720828136405374,0.22000123756758036,0.30638617301188265,0.3933367149262748,0.2043369227513684,0.30752820830733707
Spacy md,4,spacy,True,True,True,0.2516987750109965,0.22293238598379783,0.30528757976369636,0.34584251481013384,0.2802050771710511,0.38861771362845665
Word2vec nlpl mean,3,mean,True,True,True,0.30344958824071566,0.1982178601529746,0.30378512929882195,0.3107657055455433,0.1981132509394647,0.2840602148318152
Onehot,3,onehot,True,True,True,0.8023036162242666,0.24597129067598883,0.3037836276210405,0.8427358849474437,0.24034285428277577,0.3056562640735236
Roberta mean,3,roberta,True,False,True,0.41760353490207036,0.18211985488970361,0.30190650360735105,0.41833930453627366,0.15527136126855132,0.2760025982487613
Word2vec 500 tfidf,0,tfidf,True,True,True,0.35645111442549826,0.16744921862136763,0.30116422991209313,0.3603659903850624,0.19575487193530772,0.27832997025765616
Word2vec 100 mean,0,mean,True,True,True,0.42040763383256496,0.2245124124044161,0.3000876024612451,0.42366150279705456,0.22742738826246692,0.29565031608056436
Word2vec propi mean,0,mean,True,True,True,0.4144020240681861,0.19065700197206653,0.29810394906886695,0.43350512910141054,0.1841156381168471,0.2798709838195574
Word2vec 1000 mean,3,mean,True,True,True,0.30345711631629413,0.19134612471720525,0.29668496943788925,0.31059812368101203,0.19233206487054127,0.30890954709622026
Word2vec propi tfidf,3,tfidf,True,True,True,0.40210140975087816,0.17826807232397562,0.2946138409994902,0.4244591979228037,0.18540867174134215,0.3026715184070812
Random,5,embeddings,False,True,True,0.6260894095944425,0.27534071434727736,0.29444554888685237,0.634912476737803,0.30945488697796847,0.3080267467471676
Roberta 0 mean,0,roberta2,True,False,True,0.4822580918372702,0.20115315861679817,0.2904925700870593,0.47169025553383687,0.1981259002863999,0.24729853649115585
Initialized w2v propi notrain,3,embeddings,True,True,False,0.3896213722290015,0.3493357244504841,0.2867198967965017,0.3927955813712336,0.34593508813895213,0.315773417272648
Spacy md,3,spacy,True,True,True,0.6364481197409488,0.2135814843929394,0.2823483000547679,0.6396228407940706,0.22221064309056276,0.2649661230715854
Onehot,2,onehot,True,True,True,0.6663932956443446,0.24679861095445954,0.2821091393083452,0.7008881024626827,0.248412558268012,0.2890750353549723
Word2vec 100 tfidf,0,tfidf,True,True,True,0.5104085657338922,0.23870733886349876,0.2803657665112316,0.5163810992833598,0.22750521554208328,0.2795309330110176
Roberta mean,0,roberta,True,False,True,0.4488034545954864,0.20475256652305981,0.2774159191196593,0.44781934845625465,0.18656488446473196,0.25577896067807326
Roberta mean,5,roberta,True,False,True,0.2209379696049779,0.2268271303068321,0.274877413876869,0.19911888116922555,0.15994288096358955,0.22588691667902597
