Model,Exec model,Mode,Pretrained,CLS,Trained,Train pearson,Val pearson,Test pearson,Train spearman,Val spearman,Test spearman
Random v2,6,embeddings,False,True,False,0.8624723763933674,0.11027297457173739,0.14467422627675106,0.874872302269658,0.12522114782580265,0.12435706805537809
Random,6,embeddings,False,True,True,0.8355410463269377,0.13801551171829407,0.13855585857717914,0.8423281987416124,0.12472386433942004,0.13408699921495457
Initialized ccca300 notrain,6,embeddings,True,True,False,0.7391950725128864,0.09714041541653812,0.13798693457227143,0.7163229265171648,0.09724335124256592,0.14210837652495423
Roberta cls,0,roberta,True,True,True,0.5134131344708163,0.17443993199335284,0.1357564582726638,0.527047387181833,0.1511782353761212,0.17725627322945692
Roberta cls,4,roberta,True,True,True,0.12999439772954707,0.07836711517499473,0.12899437682896117,0.2578034619790272,0.17400959074734323,0.2525312269448589
Roberta cls,Baseline,roberta,True,True,True,0.10234215335571956,0.06547463303299667,0.12562585230429923,0.253717589541173,0.1691348041097459,0.2714696490714362
Initialized ccca300 notrain,5,embeddings,True,True,False,0.18880336159200067,0.0837495572968496,0.12377457683074339,0.18338819378552668,0.09866459189414913,0.12528326547482455
Initialized ccca300,6,embeddings,True,True,True,0.696287358660205,0.12517312784304135,0.12331561594294925,0.6874183917840151,0.12934657300487257,0.10024434365139023
Word2vec 500 mean,7,mean,True,True,True,0.10679261704367382,0.11497071263971156,0.12018675243470842,0.10230233871887447,0.12270103393353259,0.11624741436781634
Roberta cls,2,roberta,True,True,True,0.29185069168749134,0.13313229516861774,0.11789063947004211,0.2965604382386415,0.11545113164009255,0.17254179818606213
Random,7,embeddings,False,True,True,0.07119362081357519,-0.0028415393861906816,0.11315282564255569,0.08130665512767056,0.003163761068251782,0.12079032545794516
Initialized w2v propi notrain,5,embeddings,True,True,False,0.15479826112702588,0.25114341536672624,0.09518721143009234,0.1347394357599022,0.2701015595859884,0.0816775107032392
Roberta cls,6,roberta,True,True,True,0.5417754452387056,0.1520681696498667,0.08245627241511323,0.5682576065118392,0.1637684876523259,0.15263407579629878
Initialized ccca300,5,embeddings,True,True,True,0.1755036975472074,0.1096943175032192,0.08161031732297899,0.07302474966843077,0.129093325842747,0.057782205195567794
Roberta 0 cls,7,roberta2,True,True,True,0.057449390253447766,0.06460549214983931,0.08158809250867247,0.0955899131067902,0.10221836400318371,0.09560412081886625
Roberta cls,7,roberta,True,True,True,0.0756010862881097,0.05338304886666166,0.07114753778792259,0.09969599179691302,0.05614926033413052,0.08442737550895241
Roberta finetuned mean,2,roberta-hugging,True,False,True,0.41370016969387957,0.11968227032005102,0.07027639731219593,0.43675804773668875,0.1375510746108836,0.07368843774827517
