Model,Avg. Statistic,Pearson,Spearman,OOV Perc.,Pearson p-value,Spearman p-value
w2v_sg_300_win10_nltk_cat_gc_1000mb.model,0.5884044992828354,0.5732575453360436,0.6035514532296273,0.4524886877828055,1.2858141488634675e-20,3.195361908060995e-23
w2v_sg_300_win10_spacy_cat_gc_1000mb.model,0.5844119366331307,0.569319294879368,0.5995045783868934,1.3574660633484164,3.9847519381558227e-20,1.1585238989249155e-22
w2v_sg_100_win10_nltk_cat_gc_1000mb.model,0.5642898563817722,0.5522517636154705,0.5763279491480741,0.4524886877828055,5.797714742754372e-19,7.200912279592206e-21
w2v_sg_100_win10_spacy_cat_gc_1000mb.model,0.5601193503487594,0.549129665266594,0.5711090354309247,1.3574660633484164,1.4358044909680661e-18,2.8656043020986624e-20
